category,group,year,option,scale,baseline,Average annuity income,Average cash income,Average net annuity income,Average net cash income
Own Work Years,30-34,2045,Scheduled law,per capita,Scheduled law,47859.995,34012.114,40730.406,26882.525
Own Work Years,30-34,2055,"$150,000 tax max",equivalent,Payable law,63929.886,46632.711,53755.179,36458.004
Own Work Years,30-34,2055,"$150,000 tax max",equivalent,Scheduled law,63929.886,46632.711,53755.179,36458.004
Own Work Years,30-34,2055,"$150,000 tax max",per capita,Payable law,51828.347,37618.594,43044.691,28834.937
Own Work Years,30-34,2055,"$150,000 tax max",per capita,Scheduled law,51828.347,37618.594,43044.691,28834.937
Own Work Years,30-34,2055,"$180,000 tax max",equivalent,Payable law,64017.023,46720.856,53824.667,36528.5
Own Work Years,30-34,2055,"$180,000 tax max",equivalent,Scheduled law,64017.023,46720.856,53824.667,36528.5
Own Work Years,30-34,2055,"$180,000 tax max",per capita,Payable law,51896.925,37687.888,43099.821,28890.784
Own Work Years,30-34,2055,"$180,000 tax max",per capita,Scheduled law,51896.925,37687.888,43099.821,28890.784
Own Work Years,30-34,2055,13.4% payroll tax,equivalent,Payable law,63713.993,46418.809,53529.194,36234.01
Own Work Years,30-34,2055,13.4% payroll tax,equivalent,Scheduled law,63713.993,46418.809,53529.194,36234.01
Own Work Years,30-34,2055,13.4% payroll tax,per capita,Payable law,51658.025,37449.781,42866.426,28658.182
Own Work Years,30-34,2055,13.4% payroll tax,per capita,Scheduled law,51658.025,37449.781,42866.426,28658.182
Own Work Years,30-34,2055,14.4% payroll tax,equivalent,Payable law,63606.142,46314.517,53380.997,36089.372
Own Work Years,30-34,2055,14.4% payroll tax,equivalent,Scheduled law,63606.142,46314.517,53380.997,36089.372
Own Work Years,30-34,2055,14.4% payroll tax,per capita,Payable law,51572.731,37367.304,42749.819,28544.391
Own Work Years,30-34,2055,14.4% payroll tax,per capita,Scheduled law,51572.731,37367.304,42749.819,28544.391
Own Work Years,30-34,2055,15.4% payroll tax,equivalent,Payable law,63312.728,46047.556,53082.362,35817.19
Own Work Years,30-34,2055,15.4% payroll tax,equivalent,Scheduled law,63312.728,46047.556,53082.362,35817.19
Own Work Years,30-34,2055,15.4% payroll tax,per capita,Payable law,51349.276,37158.046,42522.782,28331.552
Own Work Years,30-34,2055,15.4% payroll tax,per capita,Scheduled law,51349.276,37158.046,42522.782,28331.552
Own Work Years,30-34,2055,75% survivor benefit,equivalent,Payable law,63147.974,45849.387,53084.746,35786.16
Own Work Years,30-34,2055,75% survivor benefit,equivalent,Scheduled law,63147.974,45849.387,53084.746,35786.16
Own Work Years,30-34,2055,75% survivor benefit,per capita,Payable law,51352.533,37141.736,42645.586,28434.789
Own Work Years,30-34,2055,75% survivor benefit,per capita,Scheduled law,51352.533,37141.736,42645.586,28434.789
Own Work Years,30-34,2055,90% tax max,equivalent,Payable law,64283.435,46988.536,54020.886,36725.987
Own Work Years,30-34,2055,90% tax max,equivalent,Scheduled law,64283.435,46988.536,54020.886,36725.987
Own Work Years,30-34,2055,90% tax max,per capita,Payable law,52101.316,37893.189,43251.379,29043.252
Own Work Years,30-34,2055,90% tax max,per capita,Scheduled law,52101.316,37893.189,43251.379,29043.252
Own Work Years,30-34,2055,90% tax max and 13.4% payroll tax,equivalent,Payable law,64166.762,46886.387,53861.924,36581.549
Own Work Years,30-34,2055,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,64166.762,46886.387,53861.924,36581.549
Own Work Years,30-34,2055,90% tax max and 13.4% payroll tax,per capita,Payable law,52009.426,37811.683,43127.715,28929.972
Own Work Years,30-34,2055,90% tax max and 13.4% payroll tax,per capita,Scheduled law,52009.426,37811.683,43127.715,28929.972
Own Work Years,30-34,2055,Annual primary insurance amount,equivalent,Payable law,64938.371,47639.933,54719.98,37421.542
Own Work Years,30-34,2055,Annual primary insurance amount,equivalent,Scheduled law,64938.371,47639.933,54719.98,37421.542
Own Work Years,30-34,2055,Annual primary insurance amount,per capita,Payable law,52628.026,38417.377,43811.71,29601.061
Own Work Years,30-34,2055,Annual primary insurance amount,per capita,Scheduled law,52628.026,38417.377,43811.71,29601.061
Own Work Years,30-34,2055,Basic minimum benefit,equivalent,Payable law,64387.768,47090.131,54238.256,36940.62
Own Work Years,30-34,2055,Basic minimum benefit,equivalent,Scheduled law,64387.768,47090.131,54238.256,36940.62
Own Work Years,30-34,2055,Basic minimum benefit,per capita,Payable law,52297.945,38088.098,43532.566,29322.719
Own Work Years,30-34,2055,Basic minimum benefit,per capita,Scheduled law,52297.945,38088.098,43532.566,29322.719
Own Work Years,30-34,2055,Bipartisan Policy Center package,equivalent,Payable law,62635.742,44861.973,52649.994,34876.225
Own Work Years,30-34,2055,Bipartisan Policy Center package,equivalent,Scheduled law,62635.742,44861.973,52649.994,34876.225
Own Work Years,30-34,2055,Bipartisan Policy Center package,per capita,Payable law,50971.762,36393.035,42325.894,27747.167
Own Work Years,30-34,2055,Bipartisan Policy Center package,per capita,Scheduled law,50971.762,36393.035,42325.894,27747.167
Own Work Years,30-34,2055,Cap COLA,equivalent,Payable law,63570.92,46272.329,53461.426,36162.836
Own Work Years,30-34,2055,Cap COLA,equivalent,Scheduled law,63570.92,46272.329,53461.426,36162.836
Own Work Years,30-34,2055,Cap COLA,per capita,Payable law,51546.917,37336.116,42813.038,28602.237
Own Work Years,30-34,2055,Cap COLA,per capita,Scheduled law,51546.917,37336.116,42813.038,28602.237
Own Work Years,30-34,2055,Cap spouse benefits,equivalent,Payable law,63821.529,46522.938,53619.544,36320.953
Own Work Years,30-34,2055,Cap spouse benefits,equivalent,Scheduled law,63821.529,46522.938,53619.544,36320.953
Own Work Years,30-34,2055,Cap spouse benefits,per capita,Payable law,51463.443,37252.642,42724.986,28514.185
Own Work Years,30-34,2055,Cap spouse benefits,per capita,Scheduled law,51463.443,37252.642,42724.986,28514.185
Own Work Years,30-34,2055,Chained-CPI COLA,equivalent,Payable law,63154.984,45856.606,53052.966,35754.588
Own Work Years,30-34,2055,Chained-CPI COLA,equivalent,Scheduled law,63154.984,45856.606,53052.966,35754.588
Own Work Years,30-34,2055,Chained-CPI COLA,per capita,Payable law,51176.492,36965.901,42450.128,28239.537
Own Work Years,30-34,2055,Chained-CPI COLA,per capita,Scheduled law,51176.492,36965.901,42450.128,28239.537
Own Work Years,30-34,2055,Eliminate the tax max,equivalent,Payable law,64738.355,47444.085,54333.343,37039.073
Own Work Years,30-34,2055,Eliminate the tax max,equivalent,Scheduled law,64738.355,47444.085,54333.343,37039.073
Own Work Years,30-34,2055,Eliminate the tax max,per capita,Payable law,52438.849,38231.157,43485.163,29277.471
Own Work Years,30-34,2055,Eliminate the tax max,per capita,Scheduled law,52438.849,38231.157,43485.163,29277.471
Own Work Years,30-34,2055,Increase benefits taxation,equivalent,Payable law,63442.58,46143.989,53329.23,36030.639
Own Work Years,30-34,2055,Increase benefits taxation,equivalent,Scheduled law,63442.58,46143.989,53329.23,36030.639
Own Work Years,30-34,2055,Increase benefits taxation,per capita,Payable law,51742.825,37532.023,42914.374,28703.573
Own Work Years,30-34,2055,Increase benefits taxation,per capita,Scheduled law,51742.825,37532.023,42914.374,28703.573
Own Work Years,30-34,2055,Increase COLA,equivalent,Payable law,64415.175,47116.584,54232.244,36933.654
Own Work Years,30-34,2055,Increase COLA,equivalent,Scheduled law,64415.175,47116.584,54232.244,36933.654
Own Work Years,30-34,2055,Increase COLA,per capita,Payable law,52251.085,38040.284,43458.877,29248.076
Own Work Years,30-34,2055,Increase COLA,per capita,Scheduled law,52251.085,38040.284,43458.877,29248.076
Own Work Years,30-34,2055,Increase FRA,equivalent,Payable law,63014.201,45715.61,52956.109,35657.519
Own Work Years,30-34,2055,Increase FRA,equivalent,Scheduled law,63014.201,45715.61,52956.109,35657.519
Own Work Years,30-34,2055,Increase FRA,per capita,Payable law,51099.604,36888.802,42406.616,28195.815
Own Work Years,30-34,2055,Increase FRA,per capita,Scheduled law,51099.604,36888.802,42406.616,28195.815
Own Work Years,30-34,2055,Increase FRA and EEA,equivalent,Payable law,62937.286,45638.695,52880.572,35581.981
Own Work Years,30-34,2055,Increase FRA and EEA,equivalent,Scheduled law,62937.286,45638.695,52880.572,35581.981
Own Work Years,30-34,2055,Increase FRA and EEA,per capita,Payable law,51031.937,36821.135,42340.475,28129.673
Own Work Years,30-34,2055,Increase FRA and EEA,per capita,Scheduled law,51031.937,36821.135,42340.475,28129.673
Own Work Years,30-34,2055,Payable law,equivalent,Payable law,59273.967,41975.357,49439.94,32141.331
Own Work Years,30-34,2055,Payable law,equivalent,Scheduled law,59273.967,41975.357,49439.94,32141.331
Own Work Years,30-34,2055,Payable law,per capita,Payable law,47955.442,33744.661,39439.59,25228.809
Own Work Years,30-34,2055,Payable law,per capita,Scheduled law,47955.442,33744.661,39439.59,25228.809
Own Work Years,30-34,2055,Reduce COLA,equivalent,Payable law,62974.187,45675.799,52880.412,35582.025
Own Work Years,30-34,2055,Reduce COLA,equivalent,Scheduled law,62974.187,45675.799,52880.412,35582.025
Own Work Years,30-34,2055,Reduce COLA,per capita,Payable law,51018.34,36807.742,42298.744,28088.146
Own Work Years,30-34,2055,Reduce COLA,per capita,Scheduled law,51018.34,36807.742,42298.744,28088.146
Own Work Years,30-34,2055,Scheduled law,equivalent,Payable law,63821.529,46522.938,53673.605,36375.014
Own Work Years,30-34,2055,Scheduled law,equivalent,Scheduled law,63821.529,46522.938,53673.605,36375.014
Own Work Years,30-34,2055,Scheduled law,per capita,Payable law,51742.825,37532.023,42979.008,28768.207
Own Work Years,30-34,2055,Scheduled law,per capita,Scheduled law,51742.825,37532.023,42979.008,28768.207
Own Work Years,30-34,2065,"$150,000 tax max",equivalent,Payable law,70671.471,53079.848,57248.268,39656.646
Own Work Years,30-34,2065,"$150,000 tax max",equivalent,Scheduled law,70671.471,53079.848,57248.268,39656.646
Own Work Years,30-34,2065,"$150,000 tax max",per capita,Payable law,58761.363,43906.097,46822.049,31966.783
Own Work Years,30-34,2065,"$150,000 tax max",per capita,Scheduled law,58761.363,43906.097,46822.049,31966.783
Own Work Years,30-34,2065,"$180,000 tax max",equivalent,Payable law,70799.297,53207.982,57349.577,39758.262
Own Work Years,30-34,2065,"$180,000 tax max",equivalent,Scheduled law,70799.297,53207.982,57349.577,39758.262
Own Work Years,30-34,2065,"$180,000 tax max",per capita,Payable law,58865.735,44010.671,46904.726,32049.663
Own Work Years,30-34,2065,"$180,000 tax max",per capita,Scheduled law,58865.735,44010.671,46904.726,32049.663
Own Work Years,30-34,2065,13.4% payroll tax,equivalent,Payable law,70366.286,52782.604,56950.71,39367.028
Own Work Years,30-34,2065,13.4% payroll tax,equivalent,Scheduled law,70366.286,52782.604,56950.71,39367.028
Own Work Years,30-34,2065,13.4% payroll tax,per capita,Payable law,58515.019,43665.542,46582.71,31733.232
Own Work Years,30-34,2065,13.4% payroll tax,per capita,Scheduled law,58515.019,43665.542,46582.71,31733.232
Own Work Years,30-34,2065,14.4% payroll tax,equivalent,Payable law,70238.154,52655.897,56785.61,39203.353
Own Work Years,30-34,2065,14.4% payroll tax,equivalent,Scheduled law,70238.154,52655.897,56785.61,39203.353
Own Work Years,30-34,2065,14.4% payroll tax,per capita,Payable law,58412.053,43563.037,46451.028,31602.012
Own Work Years,30-34,2065,14.4% payroll tax,per capita,Scheduled law,58412.053,43563.037,46451.028,31602.012
Own Work Years,30-34,2065,15.4% payroll tax,equivalent,Payable law,69926.553,52327.674,56505.254,38906.376
Own Work Years,30-34,2065,15.4% payroll tax,equivalent,Scheduled law,69926.553,52327.674,56505.254,38906.376
Own Work Years,30-34,2065,15.4% payroll tax,per capita,Payable law,58167.342,43298.944,46232.635,31364.237
Own Work Years,30-34,2065,15.4% payroll tax,per capita,Scheduled law,58167.342,43298.944,46232.635,31364.237
Own Work Years,30-34,2065,75% survivor benefit,equivalent,Payable law,70002.245,52407.225,56696.154,39101.135
Own Work Years,30-34,2065,75% survivor benefit,equivalent,Scheduled law,70002.245,52407.225,56696.154,39101.135
Own Work Years,30-34,2065,75% survivor benefit,per capita,Payable law,58423.889,43566.21,46562.928,31705.249
Own Work Years,30-34,2065,75% survivor benefit,per capita,Scheduled law,58423.889,43566.21,46562.928,31705.249
Own Work Years,30-34,2065,90% tax max,equivalent,Payable law,71219.001,53641.338,57664.924,40087.261
Own Work Years,30-34,2065,90% tax max,equivalent,Scheduled law,71219.001,53641.338,57664.924,40087.261
Own Work Years,30-34,2065,90% tax max,per capita,Payable law,59206.936,44363.319,47161.344,32317.727
Own Work Years,30-34,2065,90% tax max,per capita,Scheduled law,59206.936,44363.319,47161.344,32317.727
Own Work Years,30-34,2065,90% tax max and 13.4% payroll tax,equivalent,Payable law,71082.687,53506.269,57492.216,39915.798
Own Work Years,30-34,2065,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,71082.687,53506.269,57492.216,39915.798
Own Work Years,30-34,2065,90% tax max and 13.4% payroll tax,per capita,Payable law,59098.491,44253.877,47025.275,32180.661
Own Work Years,30-34,2065,90% tax max and 13.4% payroll tax,per capita,Scheduled law,59098.491,44253.877,47025.275,32180.661
Own Work Years,30-34,2065,Annual primary insurance amount,equivalent,Payable law,71787.886,54193.084,58328.073,40733.271
Own Work Years,30-34,2065,Annual primary insurance amount,equivalent,Scheduled law,71787.886,54193.084,58328.073,40733.271
Own Work Years,30-34,2065,Annual primary insurance amount,per capita,Payable law,59661.546,44803.924,47697.326,32839.704
Own Work Years,30-34,2065,Annual primary insurance amount,per capita,Scheduled law,59661.546,44803.924,47697.326,32839.704
Own Work Years,30-34,2065,Basic minimum benefit,equivalent,Payable law,71116.496,53523.645,57738.703,40145.852
Own Work Years,30-34,2065,Basic minimum benefit,equivalent,Scheduled law,71116.496,53523.645,57738.703,40145.852
Own Work Years,30-34,2065,Basic minimum benefit,per capita,Payable law,59224.034,44368.053,47320.982,32465.001
Own Work Years,30-34,2065,Basic minimum benefit,per capita,Scheduled law,59224.034,44368.053,47320.982,32465.001
Own Work Years,30-34,2065,Bipartisan Policy Center package,equivalent,Payable law,69427.253,51363.174,56246.538,38182.458
Own Work Years,30-34,2065,Bipartisan Policy Center package,equivalent,Scheduled law,69427.253,51363.174,56246.538,38182.458
Own Work Years,30-34,2065,Bipartisan Policy Center package,per capita,Payable law,57996.067,42755.267,46236.358,30995.558
Own Work Years,30-34,2065,Bipartisan Policy Center package,per capita,Scheduled law,57996.067,42755.267,46236.358,30995.558
Own Work Years,30-34,2065,Cap COLA,equivalent,Payable law,70201.24,52606.544,56870.821,39276.125
Own Work Years,30-34,2065,Cap COLA,equivalent,Scheduled law,70201.24,52606.544,56870.821,39276.125
Own Work Years,30-34,2065,Cap COLA,per capita,Payable law,58381.686,43524.104,46516.67,31659.087
Own Work Years,30-34,2065,Cap COLA,per capita,Scheduled law,58381.686,43524.104,46516.67,31659.087
Own Work Years,30-34,2065,Cap spouse benefits,equivalent,Payable law,70490.672,52897.187,56994.1,39400.615
Own Work Years,30-34,2065,Cap spouse benefits,equivalent,Scheduled law,70490.672,52897.187,56994.1,39400.615
Own Work Years,30-34,2065,Cap spouse benefits,per capita,Payable law,58331.882,43475.108,46459.624,31602.851
Own Work Years,30-34,2065,Cap spouse benefits,per capita,Scheduled law,58331.882,43475.108,46459.624,31602.851
Own Work Years,30-34,2065,Chained-CPI COLA,equivalent,Payable law,69692.101,52097.186,56373.987,38779.073
Own Work Years,30-34,2065,Chained-CPI COLA,equivalent,Scheduled law,69692.101,52097.186,56373.987,38779.073
Own Work Years,30-34,2065,Chained-CPI COLA,per capita,Payable law,57927.665,43069.931,46074.331,31216.597
Own Work Years,30-34,2065,Chained-CPI COLA,per capita,Scheduled law,57927.665,43069.931,46074.331,31216.597
Own Work Years,30-34,2065,Eliminate the tax max,equivalent,Payable law,71982.945,54439.539,58201.552,40658.145
Own Work Years,30-34,2065,Eliminate the tax max,equivalent,Scheduled law,71982.945,54439.539,58201.552,40658.145
Own Work Years,30-34,2065,Eliminate the tax max,per capita,Payable law,59814.19,44994.765,47580.339,32760.914
Own Work Years,30-34,2065,Eliminate the tax max,per capita,Scheduled law,59814.19,44994.765,47580.339,32760.914
Own Work Years,30-34,2065,Increase benefits taxation,equivalent,Payable law,70108.899,52515.189,56771.562,39177.852
Own Work Years,30-34,2065,Increase benefits taxation,equivalent,Scheduled law,70108.899,52515.189,56771.562,39177.852
Own Work Years,30-34,2065,Increase benefits taxation,per capita,Payable law,58613.768,43757.153,46591.565,31734.95
Own Work Years,30-34,2065,Increase benefits taxation,per capita,Scheduled law,58613.768,43757.153,46591.565,31734.95
Own Work Years,30-34,2065,Increase COLA,equivalent,Payable law,71204.196,53611.517,57777.803,40185.123
Own Work Years,30-34,2065,Increase COLA,equivalent,Scheduled law,71204.196,53611.517,57777.803,40185.123
Own Work Years,30-34,2065,Increase COLA,per capita,Payable law,59231.905,44376.096,47288.309,32432.5
Own Work Years,30-34,2065,Increase COLA,per capita,Scheduled law,59231.905,44376.096,47288.309,32432.5
Own Work Years,30-34,2065,Increase FRA,equivalent,Payable law,69239.913,51644.992,56004.699,38409.778
Own Work Years,30-34,2065,Increase FRA,equivalent,Scheduled law,69239.913,51644.992,56004.699,38409.778
Own Work Years,30-34,2065,Increase FRA,per capita,Payable law,57612.832,42755.091,45823.055,30965.314
Own Work Years,30-34,2065,Increase FRA,per capita,Scheduled law,57612.832,42755.091,45823.055,30965.314
Own Work Years,30-34,2065,Increase FRA and EEA,equivalent,Payable law,69136.005,51541.916,55910.523,38316.434
Own Work Years,30-34,2065,Increase FRA and EEA,equivalent,Scheduled law,69136.005,51541.916,55910.523,38316.434
Own Work Years,30-34,2065,Increase FRA and EEA,per capita,Payable law,57513.346,42656.193,45730.766,30873.613
Own Work Years,30-34,2065,Increase FRA and EEA,per capita,Scheduled law,57513.346,42656.193,45730.766,30873.613
Own Work Years,30-34,2065,Payable law,equivalent,Payable law,64973.895,47377.164,52021.589,34424.859
Own Work Years,30-34,2065,Payable law,equivalent,Scheduled law,64973.895,47377.164,52021.589,34424.859
Own Work Years,30-34,2065,Payable law,per capita,Payable law,53967.521,39108.645,42409.776,27550.9
Own Work Years,30-34,2065,Payable law,per capita,Scheduled law,53967.521,39108.645,42409.776,27550.9
Own Work Years,30-34,2065,Reduce COLA,equivalent,Payable law,69480.461,51885.547,56174.511,38579.597
Own Work Years,30-34,2065,Reduce COLA,equivalent,Scheduled law,69480.461,51885.547,56174.511,38579.597
Own Work Years,30-34,2065,Reduce COLA,per capita,Payable law,57739.111,42881.376,45896.245,31038.511
Own Work Years,30-34,2065,Reduce COLA,per capita,Scheduled law,57739.111,42881.376,45896.245,31038.511
Own Work Years,30-34,2065,Scheduled law,equivalent,Payable law,70490.672,52897.187,57114.322,39520.836
Own Work Years,30-34,2065,Scheduled law,equivalent,Scheduled law,70490.672,52897.187,57114.322,39520.836
Own Work Years,30-34,2065,Scheduled law,per capita,Payable law,58613.768,43757.153,46712.157,31855.542
Own Work Years,30-34,2065,Scheduled law,per capita,Scheduled law,58613.768,43757.153,46712.157,31855.542
Own Work Years,35-39,2015,"$150,000 tax max",equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,"$150,000 tax max",equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,"$150,000 tax max",per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,"$150,000 tax max",per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,"$180,000 tax max",equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,"$180,000 tax max",equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,"$180,000 tax max",per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,"$180,000 tax max",per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,13.4% payroll tax,equivalent,Payable law,67587.796,43116.683,60889.26,36418.148
Own Work Years,35-39,2015,13.4% payroll tax,equivalent,Scheduled law,67587.796,43116.683,60889.26,36418.148
Own Work Years,35-39,2015,13.4% payroll tax,per capita,Payable law,54615.051,34917.541,49061.604,29364.094
Own Work Years,35-39,2015,13.4% payroll tax,per capita,Scheduled law,54615.051,34917.541,49061.604,29364.094
Own Work Years,35-39,2015,14.4% payroll tax,equivalent,Payable law,67587.8,43116.688,60889.265,36418.152
Own Work Years,35-39,2015,14.4% payroll tax,equivalent,Scheduled law,67587.8,43116.688,60889.265,36418.152
Own Work Years,35-39,2015,14.4% payroll tax,per capita,Payable law,54615.055,34917.546,49061.608,29364.099
Own Work Years,35-39,2015,14.4% payroll tax,per capita,Scheduled law,54615.055,34917.546,49061.608,29364.099
Own Work Years,35-39,2015,15.4% payroll tax,equivalent,Payable law,67582.183,43140.237,60883.035,36441.089
Own Work Years,35-39,2015,15.4% payroll tax,equivalent,Scheduled law,67582.183,43140.237,60883.035,36441.089
Own Work Years,35-39,2015,15.4% payroll tax,per capita,Payable law,54613.024,34934.891,49059.141,29381.008
Own Work Years,35-39,2015,15.4% payroll tax,per capita,Scheduled law,54613.024,34934.891,49059.141,29381.008
Own Work Years,35-39,2015,75% survivor benefit,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,75% survivor benefit,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,75% survivor benefit,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,75% survivor benefit,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,90% tax max,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,90% tax max,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,90% tax max,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,90% tax max,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,90% tax max and 13.4% payroll tax,equivalent,Payable law,67587.796,43116.683,60889.26,36418.148
Own Work Years,35-39,2015,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,67587.796,43116.683,60889.26,36418.148
Own Work Years,35-39,2015,90% tax max and 13.4% payroll tax,per capita,Payable law,54615.051,34917.541,49061.604,29364.094
Own Work Years,35-39,2015,90% tax max and 13.4% payroll tax,per capita,Scheduled law,54615.051,34917.541,49061.604,29364.094
Own Work Years,35-39,2015,Annual primary insurance amount,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Annual primary insurance amount,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Annual primary insurance amount,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Annual primary insurance amount,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Basic minimum benefit,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Basic minimum benefit,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Basic minimum benefit,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Basic minimum benefit,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Bipartisan Policy Center package,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Bipartisan Policy Center package,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Bipartisan Policy Center package,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Bipartisan Policy Center package,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Cap COLA,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Cap COLA,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Cap COLA,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Cap COLA,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Cap spouse benefits,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Cap spouse benefits,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Cap spouse benefits,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Cap spouse benefits,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Chained-CPI COLA,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Chained-CPI COLA,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Chained-CPI COLA,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Chained-CPI COLA,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Eliminate the tax max,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Eliminate the tax max,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Eliminate the tax max,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Eliminate the tax max,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Increase benefits taxation,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Increase benefits taxation,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Increase benefits taxation,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Increase benefits taxation,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Increase COLA,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Increase COLA,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Increase COLA,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Increase COLA,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Increase FRA,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Increase FRA,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Increase FRA,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Increase FRA,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Increase FRA and EEA,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Increase FRA and EEA,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Increase FRA and EEA,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Increase FRA and EEA,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Payable law,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Payable law,equivalent,Scheduled law,67587.792,43116.679,60889.256,36418.144
Own Work Years,35-39,2015,Payable law,per capita,Payable law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Payable law,per capita,Scheduled law,54615.046,34917.537,49061.6,29364.09
Own Work Years,35-39,2015,Reduce COLA,equivalent,Payable law,67587.792,43116.679,60889.256,36418.144
